2,testCustomer,MI,5.75,tile,100,3.50,4.15,350.00,415.00,43.99,808.99
4,testCustomer3,OH,6.25,tile,100,3.50,4.15,350.00,415.00,47.81,812.81
5,trainingTest,OH,6.25,wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
7,testValidState,OH,6.25,wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
8,bob from MI,MI,5.75,wood,100,5.15,4.75,515.00,475.00,56.93,1046.93
10,testValidProduct,MI,5.75,tile,100,3.50,4.15,350.00,415.00,43.99,808.99
11,testValidProductAfterInvalid,MI,5.75,wood,100,5.15,4.75,515.00,475.00,56.93,1046.93
12,test the refactoring,MI,5.75,tile,100,3.50,4.15,350.00,415.00,43.99,808.99
13,EDITED,OH,6.25,tile,444,3.50,4.15,1554.00,1842.60,212.29,3608.89
6,editedHopeRightThisTime,OH,6.25,wood,333,5.15,4.75,1714.95,1581.75,206.04,3502.74
14,one more test,PA,6.75,tile,100,3.50,4.15,350.00,415.00,51.64,816.64
9,testValidStateAfterInvalid,PA,6.75,wood,100,5.15,4.75,515.00,475.00,66.83,1056.83
